calendar_date,warehouse_location_id,item_id,stock_qty
2026-05-04,L002,IT006,459
2026-05-04,L006,IT001,626
2026-05-04,L006,IT002,468
2026-05-04,L006,IT003,529
2026-05-04,L006,IT004,499
2026-05-04,L006,IT005,527
2026-05-04,L006,IT006,535
2026-05-04,L008,IT001,534
2026-05-04,L008,IT002,700
2026-05-04,L008,IT003,467
2026-05-04,L008,IT004,626
2026-05-04,L008,IT005,746
2026-05-04,L008,IT006,538
2026-05-05,L001,IT001,331
2026-05-05,L001,IT002,345
2026-05-05,L001,IT003,527
2026-05-05,L001,IT004,654
2026-05-05,L001,IT005,270
2026-05-05,L001,IT006,540
2026-05-05,L002,IT001,536
2026-05-05,L002,IT002,766
2026-05-05,L002,IT003,553
2026-05-05,L002,IT004,645
2026-05-05,L002,IT005,616
2026-05-05,L002,IT006,344
2026-05-05,L006,IT001,692
2026-05-05,L006,IT002,625
2026-05-05,L006,IT003,660
2026-05-05,L006,IT004,1071
2026-05-05,L006,IT005,349
2026-05-05,L006,IT006,806
2026-05-05,L008,IT001,565
2026-05-05,L008,IT002,634
2026-05-05,L008,IT003,594
2026-05-05,L008,IT004,549
2026-05-05,L008,IT005,531
2026-05-05,L008,IT006,639
2026-05-06,L001,IT001,789
2026-05-06,L001,IT002,718
2026-05-06,L001,IT003,704
2026-05-06,L001,IT004,545
2026-05-06,L001,IT005,493
2026-05-06,L001,IT006,714
2026-05-06,L002,IT001,705
2026-05-06,L002,IT002,776
2026-05-06,L002,IT003,527
2026-05-06,L002,IT004,572
2026-05-06,L002,IT005,403
2026-05-06,L002,IT006,552
2026-05-06,L006,IT001,719
2026-05-06,L006,IT002,544
2026-05-06,L006,IT003,676
2026-05-06,L006,IT004,577
2026-05-06,L006,IT005,638
2026-05-06,L006,IT006,462
2026-05-06,L008,IT001,610
2026-05-06,L008,IT002,241
2026-05-06,L008,IT003,577
2026-05-06,L008,IT004,404
2026-05-06,L008,IT005,744
2026-05-06,L008,IT006,693
2026-05-07,L001,IT001,751
2026-05-07,L001,IT002,498
2026-05-07,L001,IT003,665
2026-05-07,L001,IT004,623
2026-05-07,L001,IT005,631
2026-05-07,L001,IT006,752
2026-05-07,L002,IT001,687
2026-05-07,L002,IT002,634
2026-05-07,L002,IT003,401
2026-05-07,L002,IT004,484
2026-05-07,L002,IT005,585
2026-05-07,L002,IT006,611
2026-05-07,L006,IT001,464
2026-05-07,L006,IT002,889
2026-05-07,L006,IT003,781
2026-05-07,L006,IT004,672
2026-05-07,L006,IT005,608
2026-05-07,L006,IT006,574
2026-05-07,L008,IT001,485
2026-05-07,L008,IT002,609
2026-05-07,L008,IT003,630
2026-05-07,L008,IT004,450
2026-05-07,L008,IT005,640
2026-05-07,L008,IT006,581
2026-05-08,L001,IT001,375
2026-05-08,L001,IT002,553
2026-05-08,L001,IT003,622
2026-05-08,L001,IT004,653
2026-05-08,L001,IT005,538
2026-05-08,L001,IT006,604
2026-05-08,L002,IT001,301
2026-05-08,L002,IT002,521
2026-05-08,L002,IT003,654
2026-05-08,L002,IT004,482
2026-05-08,L002,IT005,607
2026-05-08,L002,IT006,653
2026-05-08,L006,IT001,558
2026-05-08,L006,IT002,620
2026-05-08,L006,IT003,484
2026-05-08,L006,IT004,575
2026-05-08,L006,IT005,673
2026-05-08,L006,IT006,618
2026-05-08,L008,IT001,529
2026-05-08,L008,IT002,626
2026-05-08,L008,IT003,685
2026-05-08,L008,IT004,354
2026-05-08,L008,IT005,739
2026-05-08,L008,IT006,559
2026-05-09,L001,IT001,624
2026-05-09,L001,IT002,795
2026-05-09,L001,IT003,512
2026-05-09,L001,IT004,818
2026-05-09,L001,IT005,693
2026-05-09,L001,IT006,666
2026-05-09,L002,IT001,628
2026-05-09,L002,IT002,570
2026-05-09,L002,IT003,744
2026-05-09,L002,IT004,616
2026-05-09,L002,IT005,363
2026-05-09,L002,IT006,465
2026-05-09,L006,IT001,577
2026-05-09,L006,IT002,637
2026-05-09,L006,IT003,593
2026-05-09,L006,IT004,746
2026-05-09,L006,IT005,365
2026-05-09,L006,IT006,617
2026-05-09,L008,IT001,381
2026-05-09,L008,IT002,691
2026-05-09,L008,IT003,588
2026-05-09,L008,IT004,650
2026-05-09,L008,IT005,496
2026-05-09,L008,IT006,753
2026-05-10,L001,IT001,541
2026-05-10,L001,IT002,526
2026-05-10,L001,IT003,658
2026-05-10,L001,IT004,557
2026-05-10,L001,IT005,583
2026-05-10,L001,IT006,688
2026-05-10,L002,IT001,370
2026-05-10,L002,IT002,758
2026-05-10,L002,IT003,608
2026-05-10,L002,IT004,550
2026-05-10,L002,IT005,589
2026-05-10,L002,IT006,595
2026-05-10,L006,IT001,392
2026-05-10,L006,IT002,779
2026-05-10,L006,IT003,604
2026-05-10,L006,IT004,653
2026-05-10,L006,IT005,714
2026-05-10,L006,IT006,477
2026-05-10,L008,IT001,656
2026-05-10,L008,IT002,567
2026-05-10,L008,IT003,701
2026-05-10,L008,IT004,344
2026-05-10,L008,IT005,588
2026-05-10,L008,IT006,527
2026-05-11,L001,IT001,588
2026-05-11,L001,IT002,550
2026-05-11,L001,IT003,486
2026-05-11,L001,IT004,672
2026-05-11,L001,IT005,441
2026-05-11,L001,IT006,693
2026-05-11,L002,IT001,479
2026-05-11,L002,IT002,509
2026-05-11,L002,IT003,423
2026-05-11,L002,IT004,539
2026-05-11,L002,IT005,717
2026-05-11,L002,IT006,661
2026-05-11,L006,IT001,717
2026-05-11,L006,IT002,662
2026-05-11,L006,IT003,467
2026-05-11,L006,IT004,560
2026-05-11,L006,IT005,506
2026-05-11,L006,IT006,759
2026-05-11,L008,IT001,456
2026-05-11,L008,IT002,707
2026-05-11,L008,IT003,707
2026-05-11,L008,IT004,819
2026-05-11,L008,IT005,550
2026-05-11,L008,IT006,685
2026-05-12,L001,IT001,401
2026-05-12,L001,IT002,537
2026-05-12,L001,IT003,511
2026-05-12,L001,IT004,686
2026-05-12,L001,IT005,473
2026-05-12,L001,IT006,690
2026-05-12,L002,IT001,764
2026-05-12,L002,IT002,683
2026-05-12,L002,IT003,634
2026-05-12,L002,IT004,481
2026-05-12,L002,IT005,498
2026-05-12,L002,IT006,749
2026-05-12,L006,IT001,693
2026-05-12,L006,IT002,595
2026-05-12,L006,IT003,549
2026-05-12,L006,IT004,356
2026-05-12,L006,IT005,471
2026-05-12,L006,IT006,829
2026-05-12,L008,IT001,446
2026-05-12,L008,IT002,622
2026-05-12,L008,IT003,720
2026-05-12,L008,IT004,449
2026-05-12,L008,IT005,622
2026-05-12,L008,IT006,712
2026-05-13,L001,IT001,679
2026-05-13,L001,IT002,832
2026-05-13,L001,IT003,494
2026-05-13,L001,IT004,554
2026-05-13,L001,IT005,627
2026-05-13,L001,IT006,677
2026-05-13,L002,IT001,574
2026-05-13,L002,IT002,495
2026-05-13,L002,IT003,705
2026-05-13,L002,IT004,686
2026-05-13,L002,IT005,490
2026-05-13,L002,IT006,762
2026-05-13,L006,IT001,740
2026-05-13,L006,IT002,616
2026-05-13,L006,IT003,609
2026-05-13,L006,IT004,666
2026-05-13,L006,IT005,496
2026-05-13,L006,IT006,603
2026-05-13,L008,IT001,341
2026-05-13,L008,IT002,705
2026-05-13,L008,IT003,412
2026-05-13,L008,IT004,780
2026-05-13,L008,IT005,560
2026-05-13,L008,IT006,574
2026-05-14,L001,IT001,850
2026-05-14,L001,IT002,478
2026-05-14,L001,IT003,556
2026-05-14,L001,IT004,649
2026-05-14,L001,IT005,593
2026-05-14,L001,IT006,482
2026-05-14,L002,IT001,734
2026-05-14,L002,IT002,878
2026-05-14,L002,IT003,623
2026-05-14,L002,IT004,491
2026-05-14,L002,IT005,414
2026-05-14,L002,IT006,630
2026-05-14,L006,IT001,732
2026-05-14,L006,IT002,657
2026-05-14,L006,IT003,599
2026-05-14,L006,IT004,529
2026-05-14,L006,IT005,468
2026-05-14,L006,IT006,700
2026-05-14,L008,IT001,709
2026-05-14,L008,IT002,414
2026-05-14,L008,IT003,790
2026-05-14,L008,IT004,668
2026-05-14,L008,IT005,767
2026-05-14,L008,IT006,438
2026-05-15,L001,IT001,461
2026-05-15,L001,IT002,397
2026-05-15,L001,IT003,384
2026-05-15,L001,IT004,437
2026-05-15,L001,IT005,514
2026-05-15,L001,IT006,834
2026-05-15,L002,IT001,536
2026-05-15,L002,IT002,621
2026-05-15,L002,IT003,648
2026-05-15,L002,IT004,615
2026-05-15,L002,IT005,590
2026-05-15,L002,IT006,456
2026-05-15,L006,IT001,774
2026-05-15,L006,IT002,816
2026-05-15,L006,IT003,398
2026-05-15,L006,IT004,477
2026-05-15,L006,IT005,566
2026-05-15,L006,IT006,484
2026-05-15,L008,IT001,660
2026-05-15,L008,IT002,512
2026-05-15,L008,IT003,859
2026-05-15,L008,IT004,742
2026-05-15,L008,IT005,625
2026-05-15,L008,IT006,723
