file_name,row_count,column_count,sample_columns
guest_feedback_logs.csv,250,5,"feedback_id, pilgrim_id, location_id, rating, issue_type"
hazard_zone_map.csv,4,5,"hazard_zone_id, route_id, location_id, hazard_type, risk_level"
health_risk_score.csv,500,4,"pilgrim_id, location_id, risk_score, health_risk"
high_risk_pilgrim_flags.csv,73,6,"pilgrim_id, location_id, age, oxygen_level, bp_flag, health_risk"
hospital_capacity.csv,90,4,"calendar_date, medical_facility_id, bed_capacity, occupied_beds"
hospital_capacity_summary.csv,90,5,"calendar_date, medical_facility_id, bed_capacity, occupied_beds, bed_utilization_rate"
hotel_revenue_logs.csv,90,3,"calendar_date, accommodation_id, revenue_inr"
infrastructure_failure_logs.csv,2,5,"failure_id, calendar_date, asset_id, failure_type, resolution_status"
issue_logs.csv,90,6,"issue_id, calendar_date, location_id, issue_type, severity, status"
kpi_summary_master.csv,7,3,"kpi_name, owner_group, kpi_type"
local_employment_logs.csv,12,3,"location_id, direct_jobs, seasonal_jobs"
location_master.csv,12,7,"location_id, location_name, location_type, terrain_type, altitude_m, latitude..."
login_failure_logs.csv,70,4,"calendar_date, user_id, failed_attempts, failure_reason"
maintenance_schedule.csv,4,3,"asset_id, maintenance_date, status"
medical_facility_master.csv,6,6,"medical_facility_id, facility_name, facility_type, location_id, bed_capacity, ambulance_count"
medical_incident_logs.csv,42,7,"emergency_id, pilgrim_id, location_id, medical_facility_id, incident_type, response_time_minutes..."
medicine_inventory.csv,180,4,"calendar_date, medical_facility_id, item_id, stock_qty"
nearest_resource_map.csv,5,3,"location_id, medical_facility_id, distance_km"
noise_logs.csv,120,3,"calendar_date, location_id, noise_db"
occupancy_forecast.csv,90,3,"calendar_date, accommodation_id, predicted_occupancy_next_day"
occupancy_logs.csv,90,6,"calendar_date, accommodation_id, location_id, total_rooms, occupied_rooms, occupancy_rate"
parking_capacity_logs.csv,60,4,"calendar_date, location_id, max_capacity, used_capacity"
pilgrim_health_screening.csv,500,6,"pilgrim_id, location_id, age, oxygen_level, bp_flag, health_risk"
pilgrim_master.csv,500,7,"pilgrim_id, age, gender, state, group_size, yatra_start_date..."
policy_gap_log.csv,2,3,"policy_gap_id, gap_description, status"
pricing_logs.csv,90,3,"calendar_date, accommodation_id, price_inr"
publication_log.csv,2,3,"publication_id, paper_title, status"
recommendation_registry.csv,3,3,"recommendation_id, recommendation_text, priority"
resource_assignment_logs.csv,90,4,"calendar_date, staff_id, location_id, assignment_type"
resource_item_master.csv,6,3,"item_id, item_name, item_category"
resource_optimization_output.csv,240,5,"calendar_date, location_id, item_id, consumed_qty, recommended_buffer_qty"
restocking_schedule.csv,13,5,"restock_id, calendar_date, location_id, item_id, requested_qty"
road_segment_master.csv,4,5,"road_segment_id, route_id, location_id, condition_status, max_daily_capacity"
route_congestion_history.csv,120,6,"calendar_date, route_id, vehicle_count, avg_speed_kmph, congestion_level, congestion_score"
route_master.csv,8,7,"route_id, route_name, start_location_id, end_location_id, distance_km, risk_level..."
route_recommendation.csv,120,3,"calendar_date, route_id, recommended_action"
route_segment_geo.csv,8,6,"route_id, start_latitude, start_longitude, end_latitude, end_longitude, elevation_gain_m"
route_usage_summary.csv,120,4,"calendar_date, route_id, vehicle_count, avg_travel_hours"
security_alert_logs.csv,36,4,"calendar_date, alert_type, severity, status"
service_delivery_logs.csv,90,4,"calendar_date, location_id, service_type, sla_score"
service_issue_logs.csv,7,5,"service_issue_id, accommodation_id, calendar_date, issue_type, resolution_status"
service_kpi_summary.csv,6,2,"accommodation_id, avg_occupancy_rate"
service_perception_survey.csv,75,4,"calendar_date, location_id, satisfaction_score, trust_score"
shelter_capacity_master.csv,4,3,"shelter_id, location_id, capacity"
shift_roster.csv,476,4,"calendar_date, staff_id, location_id, shift_type"
staff_master.csv,60,5,"staff_id, staff_name, role, base_location_id, shift_type"
system_health_logs.csv,60,4,"calendar_date, service_name, uptime_pct, health_status"
temple_entry_logs.csv,60,5,"calendar_date, location_id, entry_count, exit_count, avg_queue_minutes"
tourism_revenue_summary.csv,120,3,"calendar_date, location_id, tourism_revenue_inr"
traffic_logs.csv,120,5,"calendar_date, route_id, vehicle_count, avg_speed_kmph, congestion_level"
transaction_logs.csv,120,5,"transaction_id, calendar_date, vendor_id, payment_mode, amount_inr"
travel_time_logs.csv,120,5,"calendar_date, route_id, actual_travel_hours, expected_travel_hours, delay_hours"
trip_master.csv,500,5,"trip_id, pilgrim_id, trip_start_date, route_count, route_sequence"
user_access_logs.csv,450,4,"calendar_date, user_id, role, action_type"
vehicle_master.csv,50,4,"vehicle_id, vehicle_type, owner_type, assigned_route_id"
vehicle_tracking.csv,360,5,"calendar_date, vehicle_id, route_id, km_marker, speed_kmph"
vendor_master.csv,8,5,"vendor_id, vendor_name, business_type, location_id, vendor_type"
vendor_revenue_summary.csv,120,3,"calendar_date, location_id, total_vendor_sales_inr"
vendor_sales.csv,120,5,"calendar_date, vendor_id, location_id, daily_sales_inr, pilgrims_served"
warehouse_inventory.csv,360,4,"calendar_date, warehouse_location_id, item_id, stock_qty"
waste_collection_logs.csv,120,3,"calendar_date, location_id, waste_collected_kg"
waste_generation_logs.csv,120,3,"calendar_date, location_id, waste_generated_kg"
water_quality_logs.csv,120,4,"calendar_date, location_id, water_ph, compliance_status"
water_stock_logs.csv,120,4,"calendar_date, location_id, water_stock_units, demand_level"
weather_logs.csv,180,5,"calendar_date, location_id, temperature_c, rainfall_mm, condition"
weather_station_logs.csv,120,5,"calendar_date, location_id, temperature_c, rainfall_mm, condition"
