calendar_date,staff_id,location_id,shift_type
2026-05-10,S045,L009,Day
2026-05-10,S048,L005,Day
2026-05-10,S049,L009,Night
2026-05-10,S050,L011,Day
2026-05-10,S053,L002,Day
2026-05-10,S056,L006,Day
2026-05-10,S057,L011,Night
2026-05-10,S060,L001,Day
2026-05-11,S001,L002,Night
2026-05-11,S004,L012,Day
2026-05-11,S005,L002,Day
2026-05-11,S007,L011,Night
2026-05-11,S010,L008,Night
2026-05-11,S011,L002,Day
2026-05-11,S013,L007,Night
2026-05-11,S014,L001,Day
2026-05-11,S016,L004,Day
2026-05-11,S018,L007,Day
2026-05-11,S019,L008,Day
2026-05-11,S020,L008,Day
2026-05-11,S022,L004,Day
2026-05-11,S024,L007,Day
2026-05-11,S028,L004,Night
2026-05-11,S029,L001,Day
2026-05-11,S030,L006,Day
2026-05-11,S031,L010,Night
2026-05-11,S032,L009,Day
2026-05-11,S034,L002,Day
2026-05-11,S036,L010,Day
2026-05-11,S037,L010,Day
2026-05-11,S039,L010,Night
2026-05-11,S042,L011,Night
2026-05-11,S043,L006,Day
2026-05-11,S044,L008,Day
2026-05-11,S049,L009,Night
2026-05-11,S050,L011,Day
2026-05-11,S051,L009,Night
2026-05-11,S052,L002,Day
2026-05-11,S058,L008,Night
2026-05-11,S059,L002,Night
2026-05-11,S060,L001,Day
2026-05-12,S001,L002,Night
2026-05-12,S002,L010,Day
2026-05-12,S003,L004,Day
2026-05-12,S007,L011,Night
2026-05-12,S010,L008,Night
2026-05-12,S013,L007,Night
2026-05-12,S016,L004,Day
2026-05-12,S017,L009,Night
2026-05-12,S018,L007,Day
2026-05-12,S022,L004,Day
2026-05-12,S023,L008,Night
2026-05-12,S024,L007,Day
2026-05-12,S026,L005,Night
2026-05-12,S027,L007,Night
2026-05-12,S029,L001,Day
2026-05-12,S031,L010,Night
2026-05-12,S032,L009,Day
2026-05-12,S039,L010,Night
2026-05-12,S040,L004,Night
2026-05-12,S041,L005,Night
2026-05-12,S042,L011,Night
2026-05-12,S045,L009,Day
2026-05-12,S046,L005,Day
2026-05-12,S048,L005,Day
2026-05-12,S050,L011,Day
2026-05-12,S052,L002,Day
2026-05-12,S053,L002,Day
2026-05-12,S054,L009,Day
2026-05-12,S056,L006,Day
2026-05-12,S057,L011,Night
2026-05-12,S060,L001,Day
2026-05-13,S001,L002,Night
2026-05-13,S003,L004,Day
2026-05-13,S007,L011,Night
2026-05-13,S008,L009,Day
2026-05-13,S009,L010,Night
2026-05-13,S011,L002,Day
2026-05-13,S012,L007,Night
2026-05-13,S013,L007,Night
2026-05-13,S015,L007,Night
2026-05-13,S022,L004,Day
2026-05-13,S025,L007,Day
2026-05-13,S030,L006,Day
2026-05-13,S031,L010,Night
2026-05-13,S032,L009,Day
2026-05-13,S033,L009,Day
2026-05-13,S037,L010,Day
2026-05-13,S038,L002,Night
2026-05-13,S042,L011,Night
2026-05-13,S043,L006,Day
2026-05-13,S044,L008,Day
2026-05-13,S047,L002,Day
2026-05-13,S048,L005,Day
2026-05-13,S051,L009,Night
2026-05-13,S053,L002,Day
2026-05-13,S054,L009,Day
2026-05-13,S055,L005,Day
2026-05-13,S056,L006,Day
2026-05-13,S057,L011,Night
2026-05-13,S060,L001,Day
2026-05-14,S001,L002,Night
2026-05-14,S003,L004,Day
2026-05-14,S008,L009,Day
2026-05-14,S010,L008,Night
2026-05-14,S013,L007,Night
2026-05-14,S015,L007,Night
2026-05-14,S017,L009,Night
2026-05-14,S019,L008,Day
2026-05-14,S021,L011,Day
2026-05-14,S025,L007,Day
2026-05-14,S027,L007,Night
2026-05-14,S028,L004,Night
2026-05-14,S029,L001,Day
2026-05-14,S034,L002,Day
2026-05-14,S035,L004,Night
2026-05-14,S039,L010,Night
2026-05-14,S040,L004,Night
2026-05-14,S041,L005,Night
2026-05-14,S043,L006,Day
2026-05-14,S045,L009,Day
2026-05-14,S046,L005,Day
2026-05-14,S052,L002,Day
2026-05-14,S053,L002,Day
2026-05-14,S054,L009,Day
2026-05-14,S056,L006,Day
2026-05-14,S057,L011,Night
2026-05-14,S058,L008,Night
2026-05-15,S001,L002,Night
2026-05-15,S006,L002,Day
2026-05-15,S008,L009,Day
2026-05-15,S011,L002,Day
2026-05-15,S013,L007,Night
2026-05-15,S014,L001,Day
2026-05-15,S020,L008,Day
2026-05-15,S021,L011,Day
2026-05-15,S022,L004,Day
2026-05-15,S023,L008,Night
2026-05-15,S027,L007,Night
2026-05-15,S034,L002,Day
2026-05-15,S036,L010,Day
2026-05-15,S037,L010,Day
2026-05-15,S038,L002,Night
2026-05-15,S039,L010,Night
2026-05-15,S041,L005,Night
2026-05-15,S042,L011,Night
2026-05-15,S045,L009,Day
2026-05-15,S048,L005,Day
2026-05-15,S049,L009,Night
2026-05-15,S051,L009,Night
2026-05-15,S053,L002,Day
2026-05-15,S054,L009,Day
2026-05-15,S057,L011,Night
2026-05-15,S059,L002,Night
