calendar_date,location_id,item_id,consumed_qty
2026-05-05,L009,IT002,471
2026-05-05,L011,IT001,343
2026-05-05,L011,IT002,480
2026-05-05,L004,IT001,457
2026-05-05,L004,IT002,640
2026-05-05,L006,IT001,278
2026-05-05,L006,IT002,389
2026-05-05,L008,IT001,342
2026-05-05,L008,IT002,480
2026-05-05,L010,IT001,357
2026-05-05,L010,IT002,500
2026-05-06,L005,IT001,613
2026-05-06,L005,IT002,858
2026-05-06,L007,IT001,515
2026-05-06,L007,IT002,721
2026-05-06,L009,IT001,349
2026-05-06,L009,IT002,489
2026-05-06,L011,IT001,251
2026-05-06,L011,IT002,352
2026-05-06,L004,IT001,288
2026-05-06,L004,IT002,403
2026-05-06,L006,IT001,478
2026-05-06,L006,IT002,669
2026-05-06,L008,IT001,327
2026-05-06,L008,IT002,459
2026-05-06,L010,IT001,302
2026-05-06,L010,IT002,423
2026-05-07,L005,IT001,623
2026-05-07,L005,IT002,872
2026-05-07,L007,IT001,503
2026-05-07,L007,IT002,704
2026-05-07,L009,IT001,351
2026-05-07,L009,IT002,492
2026-05-07,L011,IT001,296
2026-05-07,L011,IT002,415
2026-05-07,L004,IT001,470
2026-05-07,L004,IT002,659
2026-05-07,L006,IT001,362
2026-05-07,L006,IT002,507
2026-05-07,L008,IT001,417
2026-05-07,L008,IT002,584
2026-05-07,L010,IT001,215
2026-05-07,L010,IT002,301
2026-05-08,L005,IT001,621
2026-05-08,L005,IT002,870
2026-05-08,L007,IT001,498
2026-05-08,L007,IT002,697
2026-05-08,L009,IT001,381
2026-05-08,L009,IT002,533
2026-05-08,L011,IT001,304
2026-05-08,L011,IT002,426
2026-05-08,L004,IT001,238
2026-05-08,L004,IT002,334
2026-05-08,L006,IT001,490
2026-05-08,L006,IT002,686
2026-05-08,L008,IT001,484
2026-05-08,L008,IT002,678
2026-05-08,L010,IT001,272
2026-05-08,L010,IT002,381
2026-05-09,L005,IT001,792
2026-05-09,L005,IT002,1109
2026-05-09,L007,IT001,622
2026-05-09,L007,IT002,872
2026-05-09,L009,IT001,484
2026-05-09,L009,IT002,678
2026-05-09,L011,IT001,355
2026-05-09,L011,IT002,497
2026-05-09,L004,IT001,491
2026-05-09,L004,IT002,687
2026-05-09,L006,IT001,326
2026-05-09,L006,IT002,456
2026-05-09,L008,IT001,389
2026-05-09,L008,IT002,545
2026-05-09,L010,IT001,336
2026-05-09,L010,IT002,471
2026-05-10,L005,IT001,698
2026-05-10,L005,IT002,977
2026-05-10,L007,IT001,658
2026-05-10,L007,IT002,922
2026-05-10,L009,IT001,392
2026-05-10,L009,IT002,548
2026-05-10,L011,IT001,383
2026-05-10,L011,IT002,537
2026-05-10,L004,IT001,415
2026-05-10,L004,IT002,581
2026-05-10,L006,IT001,429
2026-05-10,L006,IT002,601
2026-05-10,L008,IT001,377
2026-05-10,L008,IT002,528
2026-05-10,L010,IT001,486
2026-05-10,L010,IT002,681
2026-05-11,L005,IT001,554
2026-05-11,L005,IT002,775
2026-05-11,L007,IT001,537
2026-05-11,L007,IT002,752
2026-05-11,L009,IT001,408
2026-05-11,L009,IT002,572
2026-05-11,L011,IT001,245
2026-05-11,L011,IT002,343
2026-05-11,L004,IT001,361
2026-05-11,L004,IT002,506
2026-05-11,L006,IT001,307
2026-05-11,L006,IT002,429
2026-05-11,L008,IT001,248
2026-05-11,L008,IT002,347
2026-05-11,L010,IT001,360
2026-05-11,L010,IT002,504
2026-05-12,L005,IT001,598
2026-05-12,L005,IT002,837
2026-05-12,L007,IT001,505
2026-05-12,L007,IT002,707
2026-05-12,L009,IT001,298
2026-05-12,L009,IT002,417
2026-05-12,L011,IT001,297
2026-05-12,L011,IT002,415
2026-05-12,L004,IT001,224
2026-05-12,L004,IT002,314
2026-05-12,L006,IT001,248
2026-05-12,L006,IT002,347
2026-05-12,L008,IT001,318
2026-05-12,L008,IT002,446
2026-05-12,L010,IT001,247
2026-05-12,L010,IT002,346
2026-05-13,L005,IT001,612
2026-05-13,L005,IT002,857
2026-05-13,L007,IT001,534
2026-05-13,L007,IT002,748
2026-05-13,L009,IT001,365
2026-05-13,L009,IT002,512
2026-05-13,L011,IT001,307
2026-05-13,L011,IT002,429
2026-05-13,L004,IT001,221
2026-05-13,L004,IT002,310
2026-05-13,L006,IT001,323
2026-05-13,L006,IT002,453
2026-05-13,L008,IT001,222
2026-05-13,L008,IT002,311
2026-05-13,L010,IT001,347
2026-05-13,L010,IT002,485
2026-05-14,L005,IT001,596
2026-05-14,L005,IT002,835
2026-05-14,L007,IT001,490
2026-05-14,L007,IT002,686
2026-05-14,L009,IT001,341
2026-05-14,L009,IT002,477
2026-05-14,L011,IT001,304
2026-05-14,L011,IT002,426
2026-05-14,L004,IT001,240
2026-05-14,L004,IT002,336
2026-05-14,L006,IT001,327
2026-05-14,L006,IT002,459
2026-05-14,L008,IT001,249
2026-05-14,L008,IT002,349
2026-05-14,L010,IT001,429
2026-05-14,L010,IT002,601
2026-05-15,L005,IT001,630
2026-05-15,L005,IT002,882
2026-05-15,L007,IT001,498
2026-05-15,L007,IT002,697
2026-05-15,L009,IT001,326
2026-05-15,L009,IT002,457
2026-05-15,L011,IT001,243
2026-05-15,L011,IT002,340
2026-05-15,L004,IT001,341
2026-05-15,L004,IT002,477
2026-05-15,L006,IT001,364
2026-05-15,L006,IT002,510
2026-05-15,L008,IT001,403
2026-05-15,L008,IT002,565
2026-05-15,L010,IT001,398
2026-05-15,L010,IT002,557
