pilgrim_id,age,gender,state,group_size,yatra_start_date,yatra_type
P0075,18,M,PB,2,2026-05-12,Do Dham
P0076,59,F,WB,5,2026-05-13,Yamunotri
P0077,47,F,PB,6,2026-05-10,Gangotri
P0078,41,F,RJ,1,2026-05-05,Yamunotri
P0079,47,M,HR,5,2026-05-10,Char Dham
P0080,18,F,GJ,1,2026-05-08,Gangotri
P0081,42,M,HR,2,2026-05-06,Gangotri
P0082,51,F,UK,5,2026-05-12,Gangotri
P0083,69,M,KA,2,2026-05-02,Badrinath
P0084,37,F,HR,5,2026-05-13,Badrinath
P0085,33,F,HR,4,2026-05-13,Kedarnath
P0086,37,M,UK,2,2026-05-07,Char Dham
P0087,60,M,UK,6,2026-05-10,Gangotri
P0088,51,F,KA,5,2026-05-06,Yamunotri
P0089,37,F,GJ,6,2026-05-08,Gangotri
P0090,54,F,UK,2,2026-05-02,Char Dham
P0091,47,M,GJ,1,2026-05-12,Do Dham
P0092,61,M,RJ,2,2026-05-12,Yamunotri
P0093,34,F,WB,5,2026-05-10,Gangotri
P0094,40,M,RJ,3,2026-05-04,Gangotri
P0095,39,M,UK,1,2026-05-12,Do Dham
P0096,22,M,UK,1,2026-05-01,Do Dham
P0097,50,F,DL,6,2026-05-14,Yamunotri
P0098,50,M,UP,5,2026-05-05,Yamunotri
P0099,46,F,HR,3,2026-05-03,Kedarnath
P0100,42,F,HR,1,2026-05-14,Kedarnath
P0101,23,F,HR,1,2026-05-10,Char Dham
P0102,39,M,DL,2,2026-05-13,Do Dham
P0103,40,F,MH,2,2026-05-02,Do Dham
P0104,33,F,WB,5,2026-05-13,Do Dham
P0105,43,M,KA,4,2026-05-08,Yamunotri
P0106,52,F,WB,4,2026-05-05,Do Dham
P0107,76,M,WB,6,2026-05-02,Badrinath
P0108,48,M,UK,6,2026-05-02,Badrinath
P0109,50,M,DL,5,2026-05-02,Badrinath
P0110,44,M,PB,4,2026-05-12,Do Dham
P0111,18,F,UK,1,2026-05-04,Gangotri
P0112,45,F,HR,1,2026-05-11,Badrinath
P0113,46,F,WB,6,2026-05-13,Badrinath
P0114,78,F,MH,5,2026-05-04,Char Dham
P0115,42,M,UK,2,2026-05-02,Kedarnath
P0116,50,M,UK,5,2026-05-12,Do Dham
P0117,45,F,HR,1,2026-05-08,Char Dham
P0118,27,F,PB,3,2026-05-09,Do Dham
P0119,64,F,HR,1,2026-05-10,Kedarnath
P0120,58,F,GJ,5,2026-05-05,Kedarnath
P0121,58,M,RJ,6,2026-05-14,Do Dham
P0122,31,M,UK,5,2026-05-01,Badrinath
P0123,68,F,KA,6,2026-05-08,Gangotri
P0124,23,M,WB,4,2026-05-11,Yamunotri
P0125,55,M,HR,3,2026-05-07,Gangotri
P0126,78,F,MH,2,2026-05-06,Yamunotri
P0127,30,F,UK,6,2026-05-07,Do Dham
P0128,36,M,HR,1,2026-05-06,Gangotri
P0129,47,F,MH,4,2026-05-14,Do Dham
P0130,37,M,KA,4,2026-05-07,Kedarnath
P0131,21,M,KA,3,2026-05-10,Yamunotri
P0132,47,F,UP,2,2026-05-05,Do Dham
P0133,29,M,UK,4,2026-05-15,Char Dham
P0134,53,F,MH,1,2026-05-11,Do Dham
P0135,31,M,DL,3,2026-05-09,Kedarnath
P0136,70,F,MH,2,2026-05-14,Kedarnath
P0137,33,F,MH,6,2026-05-14,Badrinath
P0138,40,F,UK,5,2026-05-12,Gangotri
P0139,59,F,HR,4,2026-05-04,Yamunotri
P0140,26,M,PB,2,2026-05-15,Do Dham
P0141,49,M,MH,3,2026-05-13,Yamunotri
P0142,66,F,KA,3,2026-05-14,Kedarnath
P0143,20,F,UK,5,2026-05-10,Char Dham
P0144,48,F,DL,4,2026-05-09,Yamunotri
P0145,50,F,GJ,5,2026-05-13,Do Dham
P0146,58,F,HR,3,2026-05-14,Badrinath
P0147,26,M,WB,4,2026-05-04,Yamunotri
P0148,24,M,GJ,6,2026-05-08,Char Dham
P0149,54,F,PB,6,2026-05-13,Char Dham
P0150,50,M,HR,1,2026-05-03,Do Dham
P0151,50,F,MH,4,2026-05-02,Do Dham
P0152,51,F,UP,6,2026-05-03,Yamunotri
P0153,35,M,MH,4,2026-05-13,Gangotri
P0154,49,F,WB,6,2026-05-07,Char Dham
P0155,50,M,GJ,6,2026-05-14,Do Dham
P0156,34,F,GJ,6,2026-05-12,Yamunotri
P0157,75,M,WB,1,2026-05-04,Char Dham
P0158,53,F,RJ,6,2026-05-02,Yamunotri
P0159,26,M,MH,4,2026-05-03,Char Dham
P0160,56,F,UP,1,2026-05-06,Kedarnath
P0161,30,F,GJ,3,2026-05-07,Badrinath
P0162,58,M,KA,4,2026-05-10,Char Dham
P0163,64,M,DL,2,2026-05-02,Do Dham
P0164,32,F,WB,6,2026-05-04,Yamunotri
P0165,61,M,RJ,4,2026-05-11,Gangotri
P0166,52,F,UK,6,2026-05-01,Yamunotri
P0167,59,F,KA,2,2026-05-02,Yamunotri
P0168,76,F,WB,3,2026-05-11,Yamunotri
P0169,42,F,HR,3,2026-05-04,Yamunotri
P0170,33,F,MH,2,2026-05-07,Do Dham
P0171,31,F,WB,3,2026-05-12,Gangotri
P0172,32,M,PB,3,2026-05-01,Do Dham
P0173,44,M,WB,6,2026-05-08,Gangotri
P0174,51,M,WB,3,2026-05-04,Char Dham
P0175,50,M,WB,3,2026-05-11,Char Dham
P0176,59,M,MH,6,2026-05-11,Kedarnath
P0177,46,F,HR,1,2026-05-10,Gangotri
P0178,69,M,MH,3,2026-05-06,Char Dham
P0179,41,F,DL,2,2026-05-03,Do Dham
P0180,78,F,KA,5,2026-05-15,Gangotri
P0181,56,M,UK,4,2026-05-13,Gangotri
P0182,32,F,MH,4,2026-05-02,Badrinath
P0183,28,M,PB,5,2026-05-06,Kedarnath
P0184,53,F,UP,3,2026-05-09,Kedarnath
P0185,42,F,GJ,6,2026-05-12,Char Dham
P0186,57,F,WB,4,2026-05-14,Char Dham
P0187,53,F,MH,6,2026-05-04,Yamunotri
P0188,44,M,WB,5,2026-05-06,Do Dham
P0189,32,M,MH,6,2026-05-14,Yamunotri
P0190,21,F,PB,1,2026-05-03,Kedarnath
P0191,38,M,UK,4,2026-05-02,Kedarnath
P0192,59,M,KA,2,2026-05-07,Yamunotri
P0193,49,F,KA,4,2026-05-10,Char Dham
P0194,26,M,PB,6,2026-05-02,Yamunotri
P0195,48,F,UK,1,2026-05-12,Gangotri
P0196,52,M,HR,4,2026-05-04,Gangotri
P0197,31,M,GJ,5,2026-05-15,Char Dham
P0198,48,F,UP,4,2026-05-05,Badrinath
P0199,46,M,HR,1,2026-05-11,Badrinath
P0200,27,M,UP,3,2026-05-04,Badrinath
P0201,51,M,MH,5,2026-05-04,Do Dham
P0202,54,M,RJ,3,2026-05-13,Badrinath
P0203,63,M,UK,2,2026-05-03,Do Dham
P0204,62,F,DL,1,2026-05-11,Kedarnath
P0205,23,M,UP,3,2026-05-13,Badrinath
P0206,30,F,UP,2,2026-05-05,Kedarnath
P0207,54,M,PB,5,2026-05-02,Char Dham
P0208,54,M,HR,4,2026-05-13,Gangotri
P0209,54,M,HR,5,2026-05-04,Do Dham
P0210,78,M,KA,3,2026-05-08,Char Dham
P0211,55,M,UP,4,2026-05-14,Yamunotri
P0212,64,F,MH,4,2026-05-12,Yamunotri
P0213,61,M,MH,3,2026-05-10,Badrinath
P0214,56,M,DL,3,2026-05-10,Char Dham
P0215,40,F,PB,5,2026-05-09,Gangotri
P0216,58,F,KA,5,2026-05-07,Kedarnath
P0217,33,M,KA,6,2026-05-14,Badrinath
P0218,42,F,HR,2,2026-05-07,Gangotri
P0219,38,F,PB,4,2026-05-12,Kedarnath
P0220,47,F,PB,3,2026-05-11,Gangotri
P0221,78,F,DL,6,2026-05-15,Yamunotri
P0222,18,M,MH,1,2026-05-02,Yamunotri
P0223,56,M,GJ,2,2026-05-09,Kedarnath
P0224,20,F,MH,4,2026-05-06,Char Dham
P0225,38,F,UP,3,2026-05-10,Gangotri
P0226,63,F,MH,5,2026-05-09,Badrinath
P0227,47,M,HR,2,2026-05-14,Kedarnath
P0228,28,F,KA,3,2026-05-02,Gangotri
P0229,34,M,PB,5,2026-05-13,Do Dham
P0230,56,M,WB,6,2026-05-14,Char Dham
P0231,34,F,UP,2,2026-05-05,Char Dham
P0232,49,F,GJ,3,2026-05-01,Badrinath
P0233,46,M,WB,6,2026-05-07,Kedarnath
P0234,35,M,UP,1,2026-05-12,Do Dham
P0235,78,M,PB,4,2026-05-08,Gangotri
P0236,56,M,GJ,3,2026-05-12,Gangotri
P0237,18,M,UP,2,2026-05-03,Do Dham
P0238,48,M,MH,3,2026-05-08,Char Dham
P0239,35,F,HR,5,2026-05-08,Yamunotri
P0240,59,F,RJ,5,2026-05-02,Gangotri
P0241,33,F,MH,3,2026-05-11,Char Dham
P0242,44,F,KA,6,2026-05-05,Kedarnath
P0243,54,M,PB,5,2026-05-01,Kedarnath
P0244,59,M,UK,2,2026-05-13,Badrinath
P0245,26,F,UK,3,2026-05-02,Kedarnath
P0246,40,F,PB,2,2026-05-03,Yamunotri
P0247,38,M,KA,5,2026-05-14,Char Dham
P0248,35,F,MH,4,2026-05-14,Char Dham
P0249,74,M,PB,1,2026-05-08,Kedarnath
P0250,52,F,WB,4,2026-05-10,Yamunotri
P0251,25,F,UK,1,2026-05-07,Kedarnath
P0252,60,F,DL,5,2026-05-08,Char Dham
P0253,78,F,MH,4,2026-05-14,Kedarnath
P0254,62,M,PB,5,2026-05-07,Do Dham
P0255,21,M,PB,3,2026-05-12,Gangotri
P0256,38,M,GJ,2,2026-05-02,Do Dham
P0257,66,M,KA,5,2026-05-04,Gangotri
P0258,34,F,DL,2,2026-05-02,Badrinath
P0259,53,F,RJ,2,2026-05-10,Badrinath
P0260,58,M,DL,6,2026-05-08,Yamunotri
P0261,31,F,WB,6,2026-05-11,Do Dham
P0262,45,F,GJ,2,2026-05-08,Kedarnath
P0263,18,F,HR,6,2026-05-05,Gangotri
P0264,29,M,GJ,5,2026-05-02,Gangotri
P0265,41,F,HR,1,2026-05-01,Gangotri
P0266,26,F,MH,6,2026-05-14,Kedarnath
P0267,72,F,HR,5,2026-05-09,Char Dham
P0268,23,M,HR,5,2026-05-11,Badrinath
P0269,38,F,WB,4,2026-05-09,Badrinath
P0270,48,M,HR,1,2026-05-13,Gangotri
P0271,69,M,KA,6,2026-05-03,Kedarnath
P0272,23,M,HR,4,2026-05-09,Do Dham
P0273,64,M,GJ,3,2026-05-15,Gangotri
P0274,46,F,PB,3,2026-05-11,Do Dham
P0275,30,M,GJ,1,2026-05-06,Kedarnath
P0276,53,F,UK,3,2026-05-12,Char Dham
P0277,49,M,GJ,1,2026-05-10,Char Dham
P0278,36,M,GJ,3,2026-05-11,Char Dham
P0279,47,F,DL,5,2026-05-12,Kedarnath
P0280,39,F,KA,4,2026-05-11,Gangotri
P0281,47,M,KA,1,2026-05-11,Char Dham
P0282,56,F,KA,3,2026-05-01,Gangotri
P0283,71,F,DL,2,2026-05-06,Yamunotri
P0284,26,M,RJ,2,2026-05-03,Kedarnath
P0285,78,F,MH,5,2026-05-13,Do Dham
P0286,18,M,GJ,5,2026-05-03,Do Dham
P0287,43,F,DL,2,2026-05-03,Char Dham
P0288,55,M,HR,1,2026-05-07,Gangotri
P0289,50,M,HR,5,2026-05-05,Char Dham
P0290,36,F,RJ,5,2026-05-04,Gangotri
P0291,42,F,RJ,3,2026-05-11,Do Dham
P0292,38,F,HR,3,2026-05-13,Yamunotri
P0293,36,F,DL,2,2026-05-13,Do Dham
P0294,59,M,UK,1,2026-05-11,Yamunotri
P0295,51,F,KA,1,2026-05-12,Do Dham
P0296,34,M,UK,1,2026-05-13,Badrinath
P0297,60,F,HR,5,2026-05-03,Yamunotri
P0298,50,M,RJ,4,2026-05-15,Gangotri
P0299,59,M,PB,1,2026-05-07,Do Dham
P0300,56,F,RJ,4,2026-05-02,Gangotri
P0301,32,M,UP,3,2026-05-15,Kedarnath
P0302,37,F,DL,2,2026-05-01,Gangotri
P0303,57,F,DL,6,2026-05-08,Yamunotri
P0304,55,M,MH,1,2026-05-05,Badrinath
P0305,45,M,KA,6,2026-05-10,Do Dham
P0306,47,F,MH,3,2026-05-04,Gangotri
P0307,66,M,UP,2,2026-05-07,Char Dham
P0308,36,F,MH,1,2026-05-14,Yamunotri
P0309,54,M,KA,5,2026-05-04,Char Dham
P0310,42,M,UK,4,2026-05-01,Do Dham
P0311,42,F,RJ,5,2026-05-07,Badrinath
P0312,63,M,KA,3,2026-05-02,Do Dham
P0313,59,M,PB,4,2026-05-01,Char Dham
P0314,59,F,GJ,3,2026-05-12,Kedarnath
P0315,66,F,MH,3,2026-05-04,Char Dham
P0316,46,M,WB,6,2026-05-13,Gangotri
P0317,56,M,UP,3,2026-05-09,Gangotri
P0318,41,M,HR,6,2026-05-08,Char Dham
P0319,51,M,DL,1,2026-05-12,Yamunotri
P0320,43,M,UK,2,2026-05-01,Badrinath
P0321,47,M,GJ,3,2026-05-09,Yamunotri
P0322,55,F,UK,1,2026-05-13,Char Dham
P0323,32,M,UK,3,2026-05-14,Kedarnath
P0324,78,F,UK,1,2026-05-13,Gangotri
P0325,29,F,PB,6,2026-05-08,Yamunotri
P0326,26,F,DL,4,2026-05-12,Yamunotri
P0327,64,F,KA,3,2026-05-13,Kedarnath
P0328,58,F,MH,4,2026-05-10,Badrinath
P0329,55,F,GJ,1,2026-05-02,Gangotri
P0330,56,F,UK,4,2026-05-10,Char Dham
P0331,45,F,DL,6,2026-05-08,Gangotri
P0332,31,F,UP,6,2026-05-14,Gangotri
P0333,47,F,UK,6,2026-05-13,Kedarnath
P0334,35,M,PB,3,2026-05-09,Char Dham
P0335,61,M,UP,2,2026-05-14,Do Dham
P0336,43,F,UP,2,2026-05-02,Badrinath
P0337,32,F,GJ,4,2026-05-10,Kedarnath
P0338,40,M,HR,3,2026-05-06,Yamunotri
P0339,52,M,WB,2,2026-05-09,Gangotri
P0340,36,F,GJ,6,2026-05-05,Badrinath
P0341,32,M,UP,6,2026-05-03,Yamunotri
P0342,49,F,KA,1,2026-05-05,Gangotri
P0343,49,F,RJ,5,2026-05-05,Char Dham
P0344,37,F,RJ,1,2026-05-03,Kedarnath
P0345,38,F,DL,6,2026-05-08,Kedarnath
P0346,49,F,GJ,6,2026-05-02,Do Dham
P0347,22,F,UK,2,2026-05-12,Char Dham
P0348,23,M,GJ,5,2026-05-04,Kedarnath
P0349,34,M,DL,2,2026-05-13,Yamunotri
P0350,42,M,GJ,5,2026-05-10,Gangotri
P0351,50,F,KA,2,2026-05-10,Kedarnath
P0352,69,M,UK,4,2026-05-12,Char Dham
P0353,59,F,KA,4,2026-05-13,Yamunotri
P0354,43,M,DL,3,2026-05-11,Kedarnath
P0355,45,F,HR,6,2026-05-09,Gangotri
P0356,29,M,KA,6,2026-05-10,Badrinath
P0357,45,M,PB,5,2026-05-15,Kedarnath
P0358,41,M,KA,2,2026-05-05,Badrinath
P0359,51,M,GJ,6,2026-05-04,Gangotri
P0360,32,F,MH,3,2026-05-04,Char Dham
P0361,54,F,DL,6,2026-05-05,Do Dham
P0362,70,M,KA,6,2026-05-03,Do Dham
P0363,44,M,DL,6,2026-05-10,Char Dham
P0364,52,F,WB,1,2026-05-14,Kedarnath
P0365,57,M,UP,6,2026-05-13,Do Dham
P0366,39,F,RJ,5,2026-05-07,Do Dham
P0367,49,M,HR,6,2026-05-09,Gangotri
P0368,46,F,HR,2,2026-05-13,Char Dham
P0369,47,F,UK,4,2026-05-02,Char Dham
P0370,33,M,DL,4,2026-05-07,Yamunotri
P0371,46,F,RJ,3,2026-05-10,Badrinath
P0372,53,F,GJ,6,2026-05-14,Gangotri
P0373,69,F,DL,3,2026-05-09,Do Dham
P0374,61,M,GJ,2,2026-05-08,Kedarnath
P0375,78,F,HR,2,2026-05-03,Kedarnath
P0376,33,M,UK,4,2026-05-14,Do Dham
P0377,59,F,RJ,2,2026-05-14,Gangotri
P0378,48,F,RJ,2,2026-05-08,Do Dham
P0379,78,F,HR,3,2026-05-08,Kedarnath
P0380,33,M,PB,5,2026-05-08,Badrinath
P0381,32,M,WB,3,2026-05-01,Kedarnath
P0382,36,F,HR,5,2026-05-15,Char Dham
P0383,18,F,UK,5,2026-05-01,Kedarnath
P0384,37,F,DL,3,2026-05-12,Gangotri
P0385,33,F,GJ,1,2026-05-07,Kedarnath
P0386,48,M,GJ,5,2026-05-05,Kedarnath
P0387,51,F,KA,4,2026-05-13,Do Dham
P0388,76,F,WB,6,2026-05-10,Kedarnath
P0389,61,M,MH,4,2026-05-06,Gangotri
P0390,36,F,DL,2,2026-05-10,Do Dham
P0391,31,F,KA,1,2026-05-01,Kedarnath
P0392,53,M,GJ,4,2026-05-09,Yamunotri
P0393,24,M,WB,5,2026-05-03,Gangotri
P0394,75,F,DL,4,2026-05-10,Char Dham
P0395,64,F,WB,3,2026-05-09,Do Dham
P0396,38,F,WB,3,2026-05-08,Kedarnath
P0397,18,F,GJ,6,2026-05-02,Yamunotri
P0398,67,F,UP,5,2026-05-08,Gangotri
P0399,44,M,UP,5,2026-05-08,Badrinath
P0400,65,F,DL,6,2026-05-04,Kedarnath
P0401,20,M,RJ,1,2026-05-08,Gangotri
P0402,36,F,DL,4,2026-05-12,Badrinath
P0403,46,F,KA,5,2026-05-15,Yamunotri
P0404,46,M,DL,5,2026-05-04,Do Dham
P0405,38,F,HR,5,2026-05-07,Gangotri
P0406,55,M,HR,5,2026-05-06,Do Dham
P0407,28,F,UK,5,2026-05-08,Badrinath
P0408,43,M,UK,5,2026-05-05,Badrinath
P0409,47,F,UK,6,2026-05-04,Char Dham
P0410,54,F,GJ,4,2026-05-06,Do Dham
P0411,57,F,UK,1,2026-05-10,Char Dham
P0412,28,F,PB,3,2026-05-13,Badrinath
P0413,21,F,UP,3,2026-05-12,Kedarnath
P0414,66,F,HR,6,2026-05-05,Char Dham
P0415,51,F,RJ,2,2026-05-14,Do Dham
P0416,34,F,KA,6,2026-05-05,Badrinath
P0417,70,M,WB,6,2026-05-10,Badrinath
P0418,47,M,UP,6,2026-05-15,Do Dham
P0419,64,M,RJ,1,2026-05-02,Yamunotri
P0420,47,F,HR,1,2026-05-11,Badrinath
P0421,78,M,KA,2,2026-05-07,Char Dham
P0422,74,F,HR,6,2026-05-04,Gangotri
P0423,42,F,UK,6,2026-05-01,Kedarnath
P0424,61,M,KA,6,2026-05-12,Kedarnath
P0425,56,M,PB,2,2026-05-15,Kedarnath
P0426,67,F,HR,2,2026-05-15,Char Dham
P0427,30,F,UP,1,2026-05-05,Do Dham
P0428,56,M,GJ,3,2026-05-08,Char Dham
P0429,62,F,DL,5,2026-05-08,Gangotri
P0430,18,M,MH,3,2026-05-03,Char Dham
P0431,27,F,UK,6,2026-05-03,Kedarnath
P0432,18,F,UK,5,2026-05-11,Badrinath
P0433,41,M,WB,6,2026-05-15,Yamunotri
P0434,57,F,KA,3,2026-05-02,Yamunotri
P0435,70,M,DL,2,2026-05-08,Gangotri
P0436,47,M,UP,3,2026-05-07,Badrinath
P0437,72,F,UK,3,2026-05-05,Do Dham
P0438,23,M,UK,6,2026-05-06,Char Dham
P0439,18,M,UP,6,2026-05-02,Yamunotri
P0440,45,F,DL,4,2026-05-11,Do Dham
P0441,52,F,MH,6,2026-05-15,Gangotri
P0442,45,F,WB,2,2026-05-04,Badrinath
P0443,18,F,DL,4,2026-05-12,Do Dham
P0444,44,F,PB,6,2026-05-09,Yamunotri
P0445,25,M,RJ,6,2026-05-13,Do Dham
P0446,56,M,KA,4,2026-05-09,Char Dham
P0447,51,F,MH,5,2026-05-02,Kedarnath
P0448,30,M,WB,5,2026-05-03,Badrinath
P0449,37,F,KA,4,2026-05-02,Char Dham
P0450,29,M,WB,4,2026-05-02,Do Dham
P0451,44,F,UP,4,2026-05-03,Do Dham
P0452,61,F,HR,5,2026-05-01,Do Dham
P0453,30,F,UK,6,2026-05-01,Yamunotri
P0454,54,F,UP,6,2026-05-04,Do Dham
P0455,37,M,UP,4,2026-05-06,Char Dham
P0456,33,M,KA,1,2026-05-15,Kedarnath
P0457,44,F,UP,3,2026-05-07,Badrinath
P0458,29,M,PB,3,2026-05-15,Yamunotri
P0459,37,F,PB,4,2026-05-02,Char Dham
P0460,26,M,GJ,1,2026-05-03,Do Dham
P0461,77,F,KA,2,2026-05-12,Badrinath
P0462,46,M,UP,3,2026-05-08,Char Dham
P0463,34,F,KA,4,2026-05-14,Badrinath
P0464,49,M,HR,3,2026-05-03,Gangotri
P0465,44,M,MH,1,2026-05-13,Char Dham
P0466,42,F,WB,1,2026-05-04,Badrinath
P0467,55,M,MH,5,2026-05-01,Yamunotri
P0468,58,M,RJ,6,2026-05-01,Yamunotri
P0469,37,F,RJ,5,2026-05-04,Kedarnath
P0470,36,M,KA,3,2026-05-04,Char Dham
P0471,41,F,WB,5,2026-05-13,Char Dham
P0472,18,F,RJ,3,2026-05-15,Badrinath
P0473,21,M,PB,3,2026-05-05,Kedarnath
P0474,67,M,PB,5,2026-05-08,Kedarnath
P0475,72,F,PB,5,2026-05-06,Char Dham
P0476,42,F,PB,2,2026-05-05,Yamunotri
P0477,55,M,KA,4,2026-05-04,Badrinath
P0478,50,F,DL,4,2026-05-15,Kedarnath
P0479,78,F,PB,5,2026-05-09,Badrinath
P0480,63,F,RJ,3,2026-05-04,Gangotri
P0481,43,M,HR,3,2026-05-02,Do Dham
P0482,30,M,UP,3,2026-05-07,Char Dham
P0483,20,M,MH,2,2026-05-13,Do Dham
P0484,49,M,HR,2,2026-05-14,Gangotri
P0485,33,F,UP,2,2026-05-15,Badrinath
P0486,23,M,HR,2,2026-05-12,Do Dham
P0487,35,M,PB,2,2026-05-09,Gangotri
P0488,28,F,PB,4,2026-05-09,Char Dham
P0489,72,F,UK,3,2026-05-06,Do Dham
P0490,60,F,HR,1,2026-05-13,Char Dham
P0491,45,F,GJ,2,2026-05-06,Gangotri
P0492,69,F,UP,5,2026-05-14,Badrinath
P0493,47,M,UP,3,2026-05-09,Do Dham
P0494,32,F,UK,2,2026-05-04,Gangotri
P0495,70,M,PB,5,2026-05-14,Badrinath
P0496,54,F,KA,6,2026-05-11,Gangotri
P0497,29,F,HR,6,2026-05-11,Char Dham
P0498,42,F,HR,2,2026-05-12,Gangotri
P0499,31,M,DL,6,2026-05-09,Yamunotri
P0500,23,M,KA,6,2026-05-01,Do Dham
