booking_id,pilgrim_id,accommodation_id,booking_date,nights,booking_status
B00053,P0323,A001,2026-05-12,3,Confirmed
B00054,P0401,A001,2026-05-12,3,CheckedIn
B00055,P0290,A001,2026-05-13,3,CheckedIn
B00056,P0014,A001,2026-05-13,2,Completed
B00057,P0030,A001,2026-05-13,2,Completed
B00058,P0052,A001,2026-05-14,1,Completed
B00059,P0392,A001,2026-05-14,1,Completed
B00060,P0409,A001,2026-05-14,2,CheckedIn
B00061,P0433,A001,2026-05-14,1,Confirmed
B00062,P0413,A001,2026-05-14,3,Completed
B00063,P0181,A001,2026-05-15,3,Completed
B00064,P0429,A001,2026-05-15,2,Completed
B00065,P0020,A001,2026-05-15,1,Confirmed
B00066,P0011,A001,2026-05-15,3,CheckedIn
B00067,P0175,A002,2026-05-01,3,Confirmed
B00068,P0433,A002,2026-05-01,2,Confirmed
B00069,P0397,A002,2026-05-01,1,Completed
B00070,P0492,A002,2026-05-01,1,CheckedIn
B00071,P0301,A002,2026-05-01,1,CheckedIn
B00072,P0500,A002,2026-05-01,1,Completed
B00073,P0406,A002,2026-05-01,3,CheckedIn
B00074,P0288,A002,2026-05-02,3,Completed
B00075,P0341,A002,2026-05-02,3,Confirmed
B00076,P0066,A002,2026-05-02,1,Completed
B00077,P0436,A002,2026-05-02,3,Confirmed
B00078,P0472,A002,2026-05-02,3,Confirmed
B00079,P0480,A002,2026-05-02,2,Confirmed
B00080,P0122,A002,2026-05-02,2,CheckedIn
B00081,P0421,A002,2026-05-02,3,Completed
B00082,P0136,A002,2026-05-03,1,Confirmed
B00083,P0132,A002,2026-05-03,1,Completed
B00084,P0225,A002,2026-05-03,3,CheckedIn
B00085,P0453,A002,2026-05-03,2,CheckedIn
B00086,P0180,A002,2026-05-03,3,CheckedIn
B00087,P0404,A002,2026-05-03,3,Completed
B00088,P0084,A002,2026-05-03,2,Confirmed
B00089,P0151,A002,2026-05-03,1,CheckedIn
B00090,P0083,A002,2026-05-04,3,Confirmed
B00091,P0174,A002,2026-05-04,3,Completed
B00092,P0361,A002,2026-05-04,1,CheckedIn
B00093,P0085,A002,2026-05-04,3,CheckedIn
B00094,P0170,A002,2026-05-04,1,Confirmed
B00095,P0339,A002,2026-05-04,2,CheckedIn
B00096,P0202,A002,2026-05-04,3,Completed
B00097,P0185,A002,2026-05-05,1,CheckedIn
B00098,P0103,A002,2026-05-05,1,Confirmed
B00099,P0042,A002,2026-05-05,2,Confirmed
B00100,P0242,A002,2026-05-05,2,Completed
B00101,P0095,A002,2026-05-05,2,CheckedIn
B00102,P0023,A002,2026-05-05,2,CheckedIn
B00103,P0429,A002,2026-05-05,2,Completed
B00104,P0044,A002,2026-05-05,3,CheckedIn
B00105,P0388,A002,2026-05-06,3,Confirmed
B00106,P0420,A002,2026-05-06,3,CheckedIn
B00107,P0352,A002,2026-05-06,2,Completed
B00108,P0244,A002,2026-05-06,2,Confirmed
B00109,P0258,A002,2026-05-06,3,Completed
B00110,P0318,A002,2026-05-07,1,Confirmed
B00111,P0230,A002,2026-05-07,1,Confirmed
B00112,P0414,A002,2026-05-07,1,Confirmed
B00113,P0350,A002,2026-05-07,2,Confirmed
B00114,P0322,A002,2026-05-07,1,Completed
B00115,P0045,A002,2026-05-07,2,Completed
B00116,P0267,A002,2026-05-08,2,Confirmed
B00117,P0058,A002,2026-05-08,2,Confirmed
B00118,P0474,A002,2026-05-08,1,Completed
B00119,P0445,A002,2026-05-08,3,CheckedIn
B00120,P0136,A002,2026-05-08,2,Completed
B00121,P0020,A002,2026-05-08,1,CheckedIn
B00122,P0020,A002,2026-05-08,2,CheckedIn
B00123,P0472,A002,2026-05-09,2,CheckedIn
B00124,P0160,A002,2026-05-09,2,CheckedIn
B00125,P0351,A002,2026-05-09,1,Confirmed
B00126,P0397,A002,2026-05-09,2,CheckedIn
B00127,P0097,A002,2026-05-09,2,Confirmed
B00128,P0209,A002,2026-05-09,3,CheckedIn
B00129,P0421,A002,2026-05-09,1,Completed
B00130,P0160,A002,2026-05-09,3,Completed
B00131,P0089,A002,2026-05-09,1,Confirmed
B00132,P0234,A002,2026-05-10,1,CheckedIn
B00133,P0189,A002,2026-05-10,2,Completed
B00134,P0349,A002,2026-05-10,1,Confirmed
B00135,P0091,A002,2026-05-10,2,Completed
B00136,P0084,A002,2026-05-10,2,Completed
B00137,P0047,A002,2026-05-10,2,Confirmed
B00138,P0438,A002,2026-05-10,3,Confirmed
B00139,P0332,A002,2026-05-10,1,Completed
B00140,P0443,A002,2026-05-11,3,Confirmed
B00141,P0332,A002,2026-05-11,1,Completed
B00142,P0115,A002,2026-05-11,2,Completed
B00143,P0157,A002,2026-05-11,3,Completed
B00144,P0459,A002,2026-05-11,2,CheckedIn
B00145,P0239,A002,2026-05-11,2,Completed
B00146,P0300,A002,2026-05-11,1,Confirmed
B00147,P0305,A002,2026-05-12,3,CheckedIn
B00148,P0247,A002,2026-05-12,1,CheckedIn
B00149,P0328,A002,2026-05-12,2,CheckedIn
B00150,P0097,A002,2026-05-12,1,Completed
B00151,P0413,A002,2026-05-12,3,CheckedIn
B00152,P0370,A002,2026-05-12,1,Completed
B00153,P0215,A002,2026-05-13,2,CheckedIn
B00154,P0176,A002,2026-05-13,3,Completed
B00155,P0465,A002,2026-05-13,3,CheckedIn
B00156,P0431,A002,2026-05-13,3,Completed
B00157,P0242,A002,2026-05-13,1,Completed
B00158,P0485,A002,2026-05-13,3,CheckedIn
B00159,P0382,A002,2026-05-14,2,CheckedIn
B00160,P0191,A002,2026-05-14,2,Completed
B00161,P0241,A002,2026-05-14,1,Completed
B00162,P0242,A002,2026-05-14,1,Completed
B00163,P0272,A002,2026-05-14,2,CheckedIn
B00164,P0071,A002,2026-05-14,1,CheckedIn
B00165,P0074,A002,2026-05-14,2,Completed
B00166,P0324,A002,2026-05-15,1,CheckedIn
B00167,P0232,A002,2026-05-15,2,Confirmed
B00168,P0296,A002,2026-05-15,1,CheckedIn
B00169,P0067,A002,2026-05-15,3,CheckedIn
B00170,P0220,A002,2026-05-15,2,CheckedIn
B00171,P0375,A002,2026-05-15,2,Confirmed
B00172,P0388,A002,2026-05-15,3,Confirmed
B00173,P0128,A003,2026-05-01,1,Completed
B00174,P0160,A003,2026-05-01,1,Confirmed
B00175,P0086,A003,2026-05-01,1,Confirmed
B00176,P0234,A003,2026-05-01,3,Completed
B00177,P0352,A003,2026-05-02,1,CheckedIn
B00178,P0251,A003,2026-05-02,2,Confirmed
B00179,P0010,A003,2026-05-02,1,Confirmed
B00180,P0109,A003,2026-05-02,3,Confirmed
B00181,P0064,A003,2026-05-02,2,Completed
B00182,P0328,A003,2026-05-03,2,Completed
B00183,P0339,A003,2026-05-03,1,Completed
B00184,P0025,A003,2026-05-03,3,Confirmed
B00185,P0064,A003,2026-05-03,3,CheckedIn
B00186,P0352,A003,2026-05-04,3,Confirmed
B00187,P0340,A003,2026-05-04,3,CheckedIn
B00188,P0215,A003,2026-05-04,1,Completed
B00189,P0145,A003,2026-05-04,1,Confirmed
B00190,P0399,A003,2026-05-04,2,Completed
B00191,P0210,A003,2026-05-05,2,Confirmed
B00192,P0467,A003,2026-05-05,1,Completed
B00193,P0170,A003,2026-05-05,1,Confirmed
B00194,P0465,A003,2026-05-05,1,Completed
B00195,P0400,A003,2026-05-06,3,Confirmed
B00196,P0464,A003,2026-05-06,2,Completed
B00197,P0136,A003,2026-05-06,2,Confirmed
B00198,P0448,A003,2026-05-06,1,CheckedIn
B00199,P0060,A003,2026-05-07,1,Confirmed
B00200,P0340,A003,2026-05-07,3,Confirmed
B00201,P0490,A003,2026-05-07,3,CheckedIn
B00202,P0059,A003,2026-05-08,2,CheckedIn
B00203,P0140,A003,2026-05-08,2,Completed
B00204,P0410,A003,2026-05-08,2,Completed
B00205,P0086,A003,2026-05-08,1,Confirmed
B00206,P0483,A003,2026-05-08,1,Confirmed
B00207,P0348,A003,2026-05-09,2,Confirmed
B00208,P0314,A003,2026-05-09,1,Completed
B00209,P0373,A003,2026-05-09,1,CheckedIn
B00210,P0058,A003,2026-05-09,2,CheckedIn
B00211,P0336,A003,2026-05-09,2,Confirmed
B00212,P0343,A003,2026-05-10,2,Completed
B00213,P0222,A003,2026-05-10,3,Completed
B00214,P0329,A003,2026-05-11,2,Confirmed
B00215,P0286,A003,2026-05-11,3,Confirmed
B00216,P0259,A003,2026-05-11,2,CheckedIn
B00217,P0124,A003,2026-05-12,2,CheckedIn
B00218,P0282,A003,2026-05-12,3,CheckedIn
B00219,P0041,A003,2026-05-12,2,CheckedIn
B00220,P0230,A003,2026-05-12,1,CheckedIn
B00221,P0382,A003,2026-05-13,3,Confirmed
B00222,P0019,A003,2026-05-13,3,Completed
B00223,P0406,A003,2026-05-13,3,Completed
B00224,P0336,A003,2026-05-13,3,CheckedIn
B00225,P0028,A003,2026-05-14,1,CheckedIn
B00226,P0367,A003,2026-05-14,3,CheckedIn
B00227,P0050,A003,2026-05-14,3,Confirmed
B00228,P0425,A003,2026-05-14,3,CheckedIn
B00229,P0360,A003,2026-05-14,1,Confirmed
B00230,P0421,A003,2026-05-15,3,Completed
B00231,P0131,A003,2026-05-15,3,Confirmed
B00232,P0111,A003,2026-05-15,2,Confirmed
B00233,P0388,A003,2026-05-15,2,Confirmed
B00234,P0429,A003,2026-05-15,3,Completed
B00235,P0302,A004,2026-05-01,3,Confirmed
B00236,P0003,A004,2026-05-01,3,Completed
B00237,P0430,A004,2026-05-01,3,CheckedIn
B00238,P0400,A004,2026-05-01,1,Completed
B00239,P0259,A004,2026-05-02,2,CheckedIn
B00240,P0469,A004,2026-05-02,3,Confirmed
B00241,P0497,A004,2026-05-02,2,CheckedIn
B00242,P0071,A004,2026-05-02,2,Completed
B00243,P0281,A004,2026-05-03,2,Completed
B00244,P0103,A004,2026-05-03,1,Completed
B00245,P0472,A004,2026-05-03,3,Confirmed
B00246,P0333,A004,2026-05-03,1,Completed
B00247,P0364,A004,2026-05-03,1,CheckedIn
B00248,P0346,A004,2026-05-03,3,Completed
B00249,P0268,A004,2026-05-04,1,Confirmed
B00250,P0344,A004,2026-05-04,1,Confirmed
B00251,P0147,A004,2026-05-04,3,CheckedIn
B00252,P0354,A004,2026-05-04,2,Confirmed
B00253,P0232,A004,2026-05-05,1,Completed
B00254,P0379,A004,2026-05-05,3,Confirmed
B00255,P0122,A004,2026-05-05,3,Completed
B00256,P0475,A004,2026-05-05,2,CheckedIn
B00257,P0028,A004,2026-05-06,1,Completed
B00258,P0425,A004,2026-05-06,1,Completed
B00259,P0387,A004,2026-05-06,3,Completed
B00260,P0494,A004,2026-05-07,1,CheckedIn
B00261,P0096,A004,2026-05-07,1,Completed
B00262,P0021,A004,2026-05-07,2,CheckedIn
B00263,P0434,A004,2026-05-08,2,Confirmed
B00264,P0021,A004,2026-05-08,1,CheckedIn
B00265,P0252,A004,2026-05-08,3,Completed
B00266,P0490,A004,2026-05-09,1,Completed
B00267,P0213,A004,2026-05-09,3,Completed
B00268,P0114,A004,2026-05-09,1,Completed
B00269,P0151,A004,2026-05-09,1,Completed
B00270,P0124,A004,2026-05-10,3,Completed
B00271,P0125,A004,2026-05-10,1,Completed
B00272,P0196,A004,2026-05-10,1,CheckedIn
B00273,P0264,A004,2026-05-11,3,CheckedIn
B00274,P0460,A004,2026-05-11,3,Confirmed
B00275,P0086,A004,2026-05-12,3,Completed
B00276,P0108,A004,2026-05-12,3,Completed
B00277,P0428,A004,2026-05-12,1,Confirmed
B00278,P0332,A004,2026-05-12,1,Completed
B00279,P0170,A004,2026-05-13,1,Confirmed
B00280,P0407,A004,2026-05-13,2,Completed
B00281,P0467,A004,2026-05-13,2,CheckedIn
B00282,P0009,A004,2026-05-14,2,Completed
B00283,P0329,A004,2026-05-14,3,Completed
B00284,P0359,A004,2026-05-14,1,CheckedIn
B00285,P0055,A004,2026-05-14,2,Completed
B00286,P0475,A004,2026-05-15,2,CheckedIn
B00287,P0243,A004,2026-05-15,1,Completed
B00288,P0435,A005,2026-05-01,3,CheckedIn
B00289,P0074,A005,2026-05-01,2,Completed
B00290,P0444,A005,2026-05-02,3,Completed
B00291,P0284,A005,2026-05-02,3,Confirmed
B00292,P0294,A005,2026-05-02,3,CheckedIn
B00293,P0384,A005,2026-05-03,3,Completed
B00294,P0464,A005,2026-05-03,3,Completed
B00295,P0428,A005,2026-05-04,2,Confirmed
B00296,P0436,A005,2026-05-04,3,CheckedIn
B00297,P0149,A005,2026-05-04,3,Confirmed
B00298,P0250,A005,2026-05-05,2,CheckedIn
B00299,P0052,A005,2026-05-05,2,Completed
B00300,P0163,A005,2026-05-05,2,CheckedIn
B00301,P0356,A005,2026-05-05,3,Confirmed
B00302,P0491,A005,2026-05-06,2,Confirmed
B00303,P0403,A005,2026-05-06,1,Completed
B00304,P0185,A005,2026-05-07,1,Completed
B00305,P0184,A005,2026-05-08,2,CheckedIn
B00306,P0331,A005,2026-05-08,3,Confirmed
B00307,P0072,A005,2026-05-09,3,Confirmed
B00308,P0457,A005,2026-05-10,1,Completed
B00309,P0394,A005,2026-05-10,3,Confirmed
B00310,P0279,A005,2026-05-11,3,CheckedIn
B00311,P0188,A005,2026-05-11,2,Confirmed
B00312,P0302,A005,2026-05-11,3,CheckedIn
B00313,P0258,A005,2026-05-12,1,Completed
B00314,P0388,A005,2026-05-12,3,Confirmed
B00315,P0290,A005,2026-05-13,3,Confirmed
B00316,P0021,A005,2026-05-14,1,CheckedIn
B00317,P0190,A005,2026-05-14,1,Confirmed
B00318,P0470,A005,2026-05-15,2,Confirmed
B00319,P0053,A005,2026-05-15,3,Completed
B00320,P0135,A006,2026-05-01,3,Completed
B00321,P0335,A006,2026-05-01,2,CheckedIn
B00322,P0265,A006,2026-05-01,2,CheckedIn
B00323,P0115,A006,2026-05-01,3,CheckedIn
B00324,P0247,A006,2026-05-02,3,Confirmed
B00325,P0226,A006,2026-05-02,1,Confirmed
B00326,P0109,A006,2026-05-02,1,Confirmed
B00327,P0339,A006,2026-05-02,1,CheckedIn
B00328,P0369,A006,2026-05-02,1,CheckedIn
B00329,P0083,A006,2026-05-03,3,CheckedIn
B00330,P0066,A006,2026-05-03,3,Completed
B00331,P0457,A006,2026-05-03,3,Confirmed
B00332,P0473,A006,2026-05-03,1,Completed
B00333,P0289,A006,2026-05-04,3,Confirmed
B00334,P0373,A006,2026-05-04,3,CheckedIn
B00335,P0111,A006,2026-05-04,2,Completed
B00336,P0445,A006,2026-05-04,2,Confirmed
B00337,P0407,A006,2026-05-05,3,Confirmed
B00338,P0086,A006,2026-05-05,3,Completed
B00339,P0306,A006,2026-05-05,3,Confirmed
B00340,P0068,A006,2026-05-05,1,Confirmed
B00341,P0424,A006,2026-05-05,1,Completed
B00342,P0308,A006,2026-05-06,1,Completed
B00343,P0048,A006,2026-05-06,2,Completed
B00344,P0460,A006,2026-05-06,3,Completed
B00345,P0190,A006,2026-05-06,1,Completed
B00346,P0481,A006,2026-05-06,2,CheckedIn
B00347,P0131,A006,2026-05-07,2,Confirmed
B00348,P0043,A006,2026-05-07,2,Completed
B00349,P0210,A006,2026-05-07,2,Confirmed
B00350,P0296,A006,2026-05-07,3,Confirmed
B00351,P0353,A006,2026-05-08,2,CheckedIn
B00352,P0219,A006,2026-05-08,3,Completed
B00353,P0290,A006,2026-05-08,2,Completed
B00354,P0387,A006,2026-05-08,1,CheckedIn
B00355,P0287,A006,2026-05-09,3,CheckedIn
B00356,P0296,A006,2026-05-09,2,Completed
B00357,P0438,A006,2026-05-09,3,Confirmed
B00358,P0401,A006,2026-05-09,3,Confirmed
B00359,P0403,A006,2026-05-09,2,Completed
B00360,P0494,A006,2026-05-10,3,Confirmed
B00361,P0422,A006,2026-05-10,1,CheckedIn
B00362,P0223,A006,2026-05-10,1,Confirmed
B00363,P0041,A006,2026-05-10,3,Confirmed
B00364,P0315,A006,2026-05-10,3,Completed
B00365,P0420,A006,2026-05-11,1,Completed
B00366,P0104,A006,2026-05-11,3,Completed
B00367,P0402,A006,2026-05-11,3,Completed
B00368,P0315,A006,2026-05-11,1,Completed
B00369,P0500,A006,2026-05-12,1,Confirmed
B00370,P0400,A006,2026-05-12,2,CheckedIn
B00371,P0301,A006,2026-05-12,1,Completed
B00372,P0471,A006,2026-05-12,1,Completed
B00373,P0178,A006,2026-05-12,2,Confirmed
B00374,P0207,A006,2026-05-13,3,Confirmed
B00375,P0260,A006,2026-05-13,1,Completed
B00376,P0175,A006,2026-05-13,1,Completed
B00377,P0449,A006,2026-05-13,3,Completed
B00378,P0495,A006,2026-05-13,2,Completed
B00379,P0388,A006,2026-05-13,2,CheckedIn
B00380,P0133,A006,2026-05-14,1,CheckedIn
B00381,P0347,A006,2026-05-14,3,Confirmed
B00382,P0212,A006,2026-05-14,2,Completed
B00383,P0128,A006,2026-05-14,2,Confirmed
B00384,P0039,A006,2026-05-14,3,Confirmed
B00385,P0294,A006,2026-05-15,2,Confirmed
B00386,P0350,A006,2026-05-15,1,CheckedIn
B00387,P0377,A006,2026-05-15,1,CheckedIn
B00388,P0428,A006,2026-05-15,1,Completed
