trip_id,pilgrim_id,trip_start_date,route_count,route_sequence
T0159,P0159,2026-05-03,8,R001|R002|R003|R004|R005|R006|R007|R008
T0160,P0160,2026-05-06,2,R001|R002
T0161,P0161,2026-05-07,2,R003|R004
T0162,P0162,2026-05-10,8,R001|R002|R003|R004|R005|R006|R007|R008
T0163,P0163,2026-05-02,4,R001|R002|R003|R004
T0164,P0164,2026-05-04,2,R007|R008
T0165,P0165,2026-05-11,2,R005|R006
T0166,P0166,2026-05-01,2,R007|R008
T0167,P0167,2026-05-02,2,R007|R008
T0168,P0168,2026-05-11,2,R007|R008
T0169,P0169,2026-05-04,2,R007|R008
T0170,P0170,2026-05-07,4,R005|R006|R007|R008
T0171,P0171,2026-05-12,2,R005|R006
T0172,P0172,2026-05-01,4,R005|R006|R007|R008
T0173,P0173,2026-05-08,2,R005|R006
T0174,P0174,2026-05-04,8,R001|R002|R003|R004|R005|R006|R007|R008
T0175,P0175,2026-05-11,8,R001|R002|R003|R004|R005|R006|R007|R008
T0176,P0176,2026-05-11,2,R001|R002
T0177,P0177,2026-05-10,2,R005|R006
T0178,P0178,2026-05-06,8,R001|R002|R003|R004|R005|R006|R007|R008
T0179,P0179,2026-05-03,4,R005|R006|R007|R008
T0180,P0180,2026-05-15,2,R005|R006
T0181,P0181,2026-05-13,2,R005|R006
T0182,P0182,2026-05-02,2,R003|R004
T0183,P0183,2026-05-06,2,R001|R002
T0184,P0184,2026-05-09,2,R001|R002
T0185,P0185,2026-05-12,8,R001|R002|R003|R004|R005|R006|R007|R008
T0186,P0186,2026-05-14,8,R001|R002|R003|R004|R005|R006|R007|R008
T0187,P0187,2026-05-04,2,R007|R008
T0188,P0188,2026-05-06,4,R005|R006|R007|R008
T0189,P0189,2026-05-14,2,R007|R008
T0190,P0190,2026-05-03,2,R001|R002
T0191,P0191,2026-05-02,2,R001|R002
T0192,P0192,2026-05-07,2,R007|R008
T0193,P0193,2026-05-10,8,R001|R002|R003|R004|R005|R006|R007|R008
T0194,P0194,2026-05-02,2,R007|R008
T0195,P0195,2026-05-12,2,R005|R006
T0196,P0196,2026-05-04,2,R005|R006
T0197,P0197,2026-05-15,8,R001|R002|R003|R004|R005|R006|R007|R008
T0198,P0198,2026-05-05,2,R003|R004
T0199,P0199,2026-05-11,2,R003|R004
T0200,P0200,2026-05-04,2,R003|R004
T0201,P0201,2026-05-04,4,R001|R002|R003|R004
T0202,P0202,2026-05-13,2,R003|R004
T0203,P0203,2026-05-03,4,R005|R006|R007|R008
T0204,P0204,2026-05-11,2,R001|R002
T0205,P0205,2026-05-13,2,R003|R004
T0206,P0206,2026-05-05,2,R001|R002
T0207,P0207,2026-05-02,8,R001|R002|R003|R004|R005|R006|R007|R008
T0208,P0208,2026-05-13,2,R005|R006
T0209,P0209,2026-05-04,4,R005|R006|R007|R008
T0210,P0210,2026-05-08,8,R001|R002|R003|R004|R005|R006|R007|R008
T0211,P0211,2026-05-14,2,R007|R008
T0212,P0212,2026-05-12,2,R007|R008
T0213,P0213,2026-05-10,2,R003|R004
T0214,P0214,2026-05-10,8,R001|R002|R003|R004|R005|R006|R007|R008
T0215,P0215,2026-05-09,2,R005|R006
T0216,P0216,2026-05-07,2,R001|R002
T0217,P0217,2026-05-14,2,R003|R004
T0218,P0218,2026-05-07,2,R005|R006
T0219,P0219,2026-05-12,2,R001|R002
T0220,P0220,2026-05-11,2,R005|R006
T0221,P0221,2026-05-15,2,R007|R008
T0222,P0222,2026-05-02,2,R007|R008
T0223,P0223,2026-05-09,2,R001|R002
T0224,P0224,2026-05-06,8,R001|R002|R003|R004|R005|R006|R007|R008
T0225,P0225,2026-05-10,2,R005|R006
T0226,P0226,2026-05-09,2,R003|R004
T0227,P0227,2026-05-14,2,R001|R002
T0228,P0228,2026-05-02,2,R005|R006
T0229,P0229,2026-05-13,4,R005|R006|R007|R008
T0230,P0230,2026-05-14,8,R001|R002|R003|R004|R005|R006|R007|R008
T0231,P0231,2026-05-05,8,R001|R002|R003|R004|R005|R006|R007|R008
T0232,P0232,2026-05-01,2,R003|R004
T0233,P0233,2026-05-07,2,R001|R002
T0234,P0234,2026-05-12,4,R001|R002|R003|R004
T0235,P0235,2026-05-08,2,R005|R006
T0236,P0236,2026-05-12,2,R005|R006
T0237,P0237,2026-05-03,4,R001|R002|R003|R004
T0238,P0238,2026-05-08,8,R001|R002|R003|R004|R005|R006|R007|R008
T0239,P0239,2026-05-08,2,R007|R008
T0240,P0240,2026-05-02,2,R005|R006
T0241,P0241,2026-05-11,8,R001|R002|R003|R004|R005|R006|R007|R008
T0242,P0242,2026-05-05,2,R001|R002
T0243,P0243,2026-05-01,2,R001|R002
T0244,P0244,2026-05-13,2,R003|R004
T0245,P0245,2026-05-02,2,R001|R002
T0246,P0246,2026-05-03,2,R007|R008
T0247,P0247,2026-05-14,8,R001|R002|R003|R004|R005|R006|R007|R008
T0248,P0248,2026-05-14,8,R001|R002|R003|R004|R005|R006|R007|R008
T0249,P0249,2026-05-08,2,R001|R002
T0250,P0250,2026-05-10,2,R007|R008
T0251,P0251,2026-05-07,2,R001|R002
T0252,P0252,2026-05-08,8,R001|R002|R003|R004|R005|R006|R007|R008
T0253,P0253,2026-05-14,2,R001|R002
T0254,P0254,2026-05-07,4,R005|R006|R007|R008
T0255,P0255,2026-05-12,2,R005|R006
T0256,P0256,2026-05-02,4,R001|R002|R003|R004
T0257,P0257,2026-05-04,2,R005|R006
T0258,P0258,2026-05-02,2,R003|R004
T0259,P0259,2026-05-10,2,R003|R004
T0260,P0260,2026-05-08,2,R007|R008
T0261,P0261,2026-05-11,4,R001|R002|R003|R004
T0262,P0262,2026-05-08,2,R001|R002
T0263,P0263,2026-05-05,2,R005|R006
T0264,P0264,2026-05-02,2,R005|R006
T0265,P0265,2026-05-01,2,R005|R006
T0266,P0266,2026-05-14,2,R001|R002
T0267,P0267,2026-05-09,8,R001|R002|R003|R004|R005|R006|R007|R008
T0268,P0268,2026-05-11,2,R003|R004
T0269,P0269,2026-05-09,2,R003|R004
T0270,P0270,2026-05-13,2,R005|R006
T0271,P0271,2026-05-03,2,R001|R002
T0272,P0272,2026-05-09,4,R001|R002|R003|R004
T0273,P0273,2026-05-15,2,R005|R006
T0274,P0274,2026-05-11,4,R005|R006|R007|R008
T0275,P0275,2026-05-06,2,R001|R002
T0276,P0276,2026-05-12,8,R001|R002|R003|R004|R005|R006|R007|R008
T0277,P0277,2026-05-10,8,R001|R002|R003|R004|R005|R006|R007|R008
T0278,P0278,2026-05-11,8,R001|R002|R003|R004|R005|R006|R007|R008
T0279,P0279,2026-05-12,2,R001|R002
T0280,P0280,2026-05-11,2,R005|R006
T0281,P0281,2026-05-11,8,R001|R002|R003|R004|R005|R006|R007|R008
T0282,P0282,2026-05-01,2,R005|R006
T0283,P0283,2026-05-06,2,R007|R008
T0284,P0284,2026-05-03,2,R001|R002
T0285,P0285,2026-05-13,4,R005|R006|R007|R008
T0286,P0286,2026-05-03,4,R005|R006|R007|R008
T0287,P0287,2026-05-03,8,R001|R002|R003|R004|R005|R006|R007|R008
T0288,P0288,2026-05-07,2,R005|R006
T0289,P0289,2026-05-05,8,R001|R002|R003|R004|R005|R006|R007|R008
T0290,P0290,2026-05-04,2,R005|R006
T0291,P0291,2026-05-11,4,R005|R006|R007|R008
T0292,P0292,2026-05-13,2,R007|R008
T0293,P0293,2026-05-13,4,R001|R002|R003|R004
T0294,P0294,2026-05-11,2,R007|R008
T0295,P0295,2026-05-12,4,R001|R002|R003|R004
T0296,P0296,2026-05-13,2,R003|R004
T0297,P0297,2026-05-03,2,R007|R008
T0298,P0298,2026-05-15,2,R005|R006
T0299,P0299,2026-05-07,4,R001|R002|R003|R004
T0300,P0300,2026-05-02,2,R005|R006
T0301,P0301,2026-05-15,2,R001|R002
T0302,P0302,2026-05-01,2,R005|R006
T0303,P0303,2026-05-08,2,R007|R008
T0304,P0304,2026-05-05,2,R003|R004
T0305,P0305,2026-05-10,4,R001|R002|R003|R004
T0306,P0306,2026-05-04,2,R005|R006
T0307,P0307,2026-05-07,8,R001|R002|R003|R004|R005|R006|R007|R008
T0308,P0308,2026-05-14,2,R007|R008
T0309,P0309,2026-05-04,8,R001|R002|R003|R004|R005|R006|R007|R008
T0310,P0310,2026-05-01,4,R005|R006|R007|R008
T0311,P0311,2026-05-07,2,R003|R004
T0312,P0312,2026-05-02,4,R005|R006|R007|R008
T0313,P0313,2026-05-01,8,R001|R002|R003|R004|R005|R006|R007|R008
T0314,P0314,2026-05-12,2,R001|R002
T0315,P0315,2026-05-04,8,R001|R002|R003|R004|R005|R006|R007|R008
T0316,P0316,2026-05-13,2,R005|R006
T0317,P0317,2026-05-09,2,R005|R006
T0318,P0318,2026-05-08,8,R001|R002|R003|R004|R005|R006|R007|R008
T0319,P0319,2026-05-12,2,R007|R008
T0320,P0320,2026-05-01,2,R003|R004
T0321,P0321,2026-05-09,2,R007|R008
T0322,P0322,2026-05-13,8,R001|R002|R003|R004|R005|R006|R007|R008
T0323,P0323,2026-05-14,2,R001|R002
T0324,P0324,2026-05-13,2,R005|R006
T0325,P0325,2026-05-08,2,R007|R008
T0326,P0326,2026-05-12,2,R007|R008
T0327,P0327,2026-05-13,2,R001|R002
T0328,P0328,2026-05-10,2,R003|R004
T0329,P0329,2026-05-02,2,R005|R006
T0330,P0330,2026-05-10,8,R001|R002|R003|R004|R005|R006|R007|R008
T0331,P0331,2026-05-08,2,R005|R006
T0332,P0332,2026-05-14,2,R005|R006
T0333,P0333,2026-05-13,2,R001|R002
T0334,P0334,2026-05-09,8,R001|R002|R003|R004|R005|R006|R007|R008
T0335,P0335,2026-05-14,4,R005|R006|R007|R008
T0336,P0336,2026-05-02,2,R003|R004
T0337,P0337,2026-05-10,2,R001|R002
T0338,P0338,2026-05-06,2,R007|R008
T0339,P0339,2026-05-09,2,R005|R006
T0340,P0340,2026-05-05,2,R003|R004
T0341,P0341,2026-05-03,2,R007|R008
T0342,P0342,2026-05-05,2,R005|R006
T0343,P0343,2026-05-05,8,R001|R002|R003|R004|R005|R006|R007|R008
T0344,P0344,2026-05-03,2,R001|R002
T0345,P0345,2026-05-08,2,R001|R002
T0346,P0346,2026-05-02,4,R001|R002|R003|R004
T0347,P0347,2026-05-12,8,R001|R002|R003|R004|R005|R006|R007|R008
T0348,P0348,2026-05-04,2,R001|R002
T0349,P0349,2026-05-13,2,R007|R008
T0350,P0350,2026-05-10,2,R005|R006
T0351,P0351,2026-05-10,2,R001|R002
T0352,P0352,2026-05-12,8,R001|R002|R003|R004|R005|R006|R007|R008
T0353,P0353,2026-05-13,2,R007|R008
T0354,P0354,2026-05-11,2,R001|R002
T0355,P0355,2026-05-09,2,R005|R006
T0356,P0356,2026-05-10,2,R003|R004
T0357,P0357,2026-05-15,2,R001|R002
T0358,P0358,2026-05-05,2,R003|R004
T0359,P0359,2026-05-04,2,R005|R006
T0360,P0360,2026-05-04,8,R001|R002|R003|R004|R005|R006|R007|R008
T0361,P0361,2026-05-05,4,R001|R002|R003|R004
T0362,P0362,2026-05-03,4,R001|R002|R003|R004
T0363,P0363,2026-05-10,8,R001|R002|R003|R004|R005|R006|R007|R008
T0364,P0364,2026-05-14,2,R001|R002
T0365,P0365,2026-05-13,4,R001|R002|R003|R004
T0366,P0366,2026-05-07,4,R005|R006|R007|R008
T0367,P0367,2026-05-09,2,R005|R006
T0368,P0368,2026-05-13,8,R001|R002|R003|R004|R005|R006|R007|R008
T0369,P0369,2026-05-02,8,R001|R002|R003|R004|R005|R006|R007|R008
T0370,P0370,2026-05-07,2,R007|R008
T0371,P0371,2026-05-10,2,R003|R004
T0372,P0372,2026-05-14,2,R005|R006
T0373,P0373,2026-05-09,4,R005|R006|R007|R008
T0374,P0374,2026-05-08,2,R001|R002
T0375,P0375,2026-05-03,2,R001|R002
T0376,P0376,2026-05-14,4,R001|R002|R003|R004
T0377,P0377,2026-05-14,2,R005|R006
T0378,P0378,2026-05-08,4,R001|R002|R003|R004
T0379,P0379,2026-05-08,2,R001|R002
T0380,P0380,2026-05-08,2,R003|R004
T0381,P0381,2026-05-01,2,R001|R002
T0382,P0382,2026-05-15,8,R001|R002|R003|R004|R005|R006|R007|R008
T0383,P0383,2026-05-01,2,R001|R002
T0384,P0384,2026-05-12,2,R005|R006
T0385,P0385,2026-05-07,2,R001|R002
T0386,P0386,2026-05-05,2,R001|R002
T0387,P0387,2026-05-13,4,R005|R006|R007|R008
T0388,P0388,2026-05-10,2,R001|R002
T0389,P0389,2026-05-06,2,R005|R006
T0390,P0390,2026-05-10,4,R001|R002|R003|R004
T0391,P0391,2026-05-01,2,R001|R002
T0392,P0392,2026-05-09,2,R007|R008
T0393,P0393,2026-05-03,2,R005|R006
T0394,P0394,2026-05-10,8,R001|R002|R003|R004|R005|R006|R007|R008
T0395,P0395,2026-05-09,4,R001|R002|R003|R004
T0396,P0396,2026-05-08,2,R001|R002
T0397,P0397,2026-05-02,2,R007|R008
T0398,P0398,2026-05-08,2,R005|R006
T0399,P0399,2026-05-08,2,R003|R004
T0400,P0400,2026-05-04,2,R001|R002
T0401,P0401,2026-05-08,2,R005|R006
T0402,P0402,2026-05-12,2,R003|R004
T0403,P0403,2026-05-15,2,R007|R008
T0404,P0404,2026-05-04,4,R005|R006|R007|R008
T0405,P0405,2026-05-07,2,R005|R006
T0406,P0406,2026-05-06,4,R001|R002|R003|R004
T0407,P0407,2026-05-08,2,R003|R004
T0408,P0408,2026-05-05,2,R003|R004
T0409,P0409,2026-05-04,8,R001|R002|R003|R004|R005|R006|R007|R008
T0410,P0410,2026-05-06,4,R001|R002|R003|R004
T0411,P0411,2026-05-10,8,R001|R002|R003|R004|R005|R006|R007|R008
T0412,P0412,2026-05-13,2,R003|R004
T0413,P0413,2026-05-12,2,R001|R002
T0414,P0414,2026-05-05,8,R001|R002|R003|R004|R005|R006|R007|R008
T0415,P0415,2026-05-14,4,R001|R002|R003|R004
T0416,P0416,2026-05-05,2,R003|R004
T0417,P0417,2026-05-10,2,R003|R004
T0418,P0418,2026-05-15,4,R005|R006|R007|R008
T0419,P0419,2026-05-02,2,R007|R008
T0420,P0420,2026-05-11,2,R003|R004
T0421,P0421,2026-05-07,8,R001|R002|R003|R004|R005|R006|R007|R008
T0422,P0422,2026-05-04,2,R005|R006
T0423,P0423,2026-05-01,2,R001|R002
T0424,P0424,2026-05-12,2,R001|R002
T0425,P0425,2026-05-15,2,R001|R002
T0426,P0426,2026-05-15,8,R001|R002|R003|R004|R005|R006|R007|R008
T0427,P0427,2026-05-05,4,R001|R002|R003|R004
T0428,P0428,2026-05-08,8,R001|R002|R003|R004|R005|R006|R007|R008
T0429,P0429,2026-05-08,2,R005|R006
T0430,P0430,2026-05-03,8,R001|R002|R003|R004|R005|R006|R007|R008
T0431,P0431,2026-05-03,2,R001|R002
T0432,P0432,2026-05-11,2,R003|R004
T0433,P0433,2026-05-15,2,R007|R008
T0434,P0434,2026-05-02,2,R007|R008
T0435,P0435,2026-05-08,2,R005|R006
T0436,P0436,2026-05-07,2,R003|R004
T0437,P0437,2026-05-05,4,R005|R006|R007|R008
T0438,P0438,2026-05-06,8,R001|R002|R003|R004|R005|R006|R007|R008
T0439,P0439,2026-05-02,2,R007|R008
T0440,P0440,2026-05-11,4,R001|R002|R003|R004
T0441,P0441,2026-05-15,2,R005|R006
T0442,P0442,2026-05-04,2,R003|R004
T0443,P0443,2026-05-12,4,R001|R002|R003|R004
T0444,P0444,2026-05-09,2,R007|R008
T0445,P0445,2026-05-13,4,R005|R006|R007|R008
T0446,P0446,2026-05-09,8,R001|R002|R003|R004|R005|R006|R007|R008
T0447,P0447,2026-05-02,2,R001|R002
T0448,P0448,2026-05-03,2,R003|R004
T0449,P0449,2026-05-02,8,R001|R002|R003|R004|R005|R006|R007|R008
T0450,P0450,2026-05-02,4,R005|R006|R007|R008
T0451,P0451,2026-05-03,4,R005|R006|R007|R008
T0452,P0452,2026-05-01,4,R001|R002|R003|R004
T0453,P0453,2026-05-01,2,R007|R008
T0454,P0454,2026-05-04,4,R001|R002|R003|R004
T0455,P0455,2026-05-06,8,R001|R002|R003|R004|R005|R006|R007|R008
T0456,P0456,2026-05-15,2,R001|R002
T0457,P0457,2026-05-07,2,R003|R004
T0458,P0458,2026-05-15,2,R007|R008
T0459,P0459,2026-05-02,8,R001|R002|R003|R004|R005|R006|R007|R008
T0460,P0460,2026-05-03,4,R005|R006|R007|R008
T0461,P0461,2026-05-12,2,R003|R004
T0462,P0462,2026-05-08,8,R001|R002|R003|R004|R005|R006|R007|R008
T0463,P0463,2026-05-14,2,R003|R004
T0464,P0464,2026-05-03,2,R005|R006
T0465,P0465,2026-05-13,8,R001|R002|R003|R004|R005|R006|R007|R008
T0466,P0466,2026-05-04,2,R003|R004
T0467,P0467,2026-05-01,2,R007|R008
T0468,P0468,2026-05-01,2,R007|R008
T0469,P0469,2026-05-04,2,R001|R002
T0470,P0470,2026-05-04,8,R001|R002|R003|R004|R005|R006|R007|R008
T0471,P0471,2026-05-13,8,R001|R002|R003|R004|R005|R006|R007|R008
T0472,P0472,2026-05-15,2,R003|R004
T0473,P0473,2026-05-05,2,R001|R002
T0474,P0474,2026-05-08,2,R001|R002
T0475,P0475,2026-05-06,8,R001|R002|R003|R004|R005|R006|R007|R008
T0476,P0476,2026-05-05,2,R007|R008
T0477,P0477,2026-05-04,2,R003|R004
T0478,P0478,2026-05-15,2,R001|R002
T0479,P0479,2026-05-09,2,R003|R004
T0480,P0480,2026-05-04,2,R005|R006
T0481,P0481,2026-05-02,4,R001|R002|R003|R004
T0482,P0482,2026-05-07,8,R001|R002|R003|R004|R005|R006|R007|R008
T0483,P0483,2026-05-13,4,R001|R002|R003|R004
T0484,P0484,2026-05-14,2,R005|R006
T0485,P0485,2026-05-15,2,R003|R004
T0486,P0486,2026-05-12,4,R005|R006|R007|R008
T0487,P0487,2026-05-09,2,R005|R006
T0488,P0488,2026-05-09,8,R001|R002|R003|R004|R005|R006|R007|R008
T0489,P0489,2026-05-06,4,R001|R002|R003|R004
T0490,P0490,2026-05-13,8,R001|R002|R003|R004|R005|R006|R007|R008
T0491,P0491,2026-05-06,2,R005|R006
T0492,P0492,2026-05-14,2,R003|R004
T0493,P0493,2026-05-09,4,R001|R002|R003|R004
T0494,P0494,2026-05-04,2,R005|R006
T0495,P0495,2026-05-14,2,R003|R004
T0496,P0496,2026-05-11,2,R005|R006
T0497,P0497,2026-05-11,8,R001|R002|R003|R004|R005|R006|R007|R008
T0498,P0498,2026-05-12,2,R005|R006
T0499,P0499,2026-05-09,2,R007|R008
T0500,P0500,2026-05-01,4,R005|R006|R007|R008
